ship_postal_code,ship_country,ship_state,ship_city
413712,IN,MAHARASHTRA,RAHATA
208014,IN,UTTAR PRADESH,KANPUR
226002,IN,UTTAR PRADESH,LUCKNOW
110005,IN,DELHI,NEW DELHI
560049,IN,KARNATAKA,BENGALURU
401107,IN,MAHARASHTRA,THANE
673001,IN,KERALA,KOZHIKODE
600097,IN,TAMIL NADU,CHENNAI
141001,IN,Punjab,Ludhiana
632401,IN,TAMIL NADU,RANIPETTAI
700094,IN,WEST BENGAL,KOLKATA
110031,IN,DELHI,NEW DELHI
201304,IN,UTTAR PRADESH,NOIDA
560017,IN,KARNATAKA,BENGALURU
413003,IN,MAHARASHTRA,SOLAPUR
500003,IN,TELANGANA,SECUNDERABAD
474005,IN,MADHYA PRADESH,GWALIOR
400081,IN,MAHARASHTRA,MUMBAI
262903,IN,UTTAR PRADESH,Lakhimpur Kheri
500032,IN,TELANGANA,HYDERABAD
560076,IN,KARNATAKA,Bengaluru
721126,IN,WEST BENGAL,"Debra bazar, west medinipur"
605007,IN,PUDUCHERRY,PUDUCHERRY
110034,IN,DELHI,NEW DELHI
600042,IN,TAMIL NADU,CHENNAI
411044,IN,MAHARASHTRA,"Nigdi, Pune"
403510,IN,GOA,MAPUSA
400072,IN,MAHARASHTRA,MUMBAI
231208,IN,UTTAR PRADESH,DUDHI
679563,IN,KERALA,VYLATHUR
751022,IN,ODISHA,BHUBANESWAR
416235,IN,MAHARASHTRA,KOLHAPUR
210001,IN,UTTAR PRADESH,BANDA
401201,IN,MAHARASHTRA,VASAI VIRAR
530012,IN,ANDHRA PRADESH,VISAKHAPATNAM
737126,IN,SIKKIM,NAMCHI
600004,IN,TAMIL NADU,CHENNAI
600033,IN,TAMIL NADU,CHENNAI
629851,IN,TAMIL NADU,KANNIYAKUMARI
800003,IN,BIHAR,PATNA
560001,IN,KARNATAKA,BENGALURU
110071,IN,DELHI,NEW DELHI
641024,IN,TAMIL NADU,COIMBATORE
516360,IN,ANDHRA PRADESH,PRODDATUR
422009,IN,MAHARASHTRA,NASHIK
400076,IN,MAHARASHTRA,MUMBAI
500095,IN,TELANGANA,HYDERABAD
110075,IN,DELHI,Dwarka
110009,IN,DELHI,NEW DELHI
421201,IN,MAHARASHTRA,Dombivli east
110029,IN,DELHI,NEW DELHI
686562,IN,KERALA,Kottayam
600005,IN,TAMIL NADU,CHENNAI
110027,IN,DELHI,NEW DELHI
401209,IN,MAHARASHTRA,VASAI VIRAR
841226,IN,WEST BENGAL,Kolkata
246731,IN,BIHAR,SIWAN
713301,IN,UTTAR PRADESH,KIRATPUR
110008,IN,WEST BENGAL,ASANSOL
400053,IN,DELHI,NEW DELHI
211013,IN,MAHARASHTRA,MUMBAI
711102,IN,UTTAR PRADESH,PRAYAGRAJ
508001,IN,WEST BENGAL,HOWRAH
581342,IN,TELANGANA,NALGONDA
400008,IN,KARNATAKA,UTTARA KANNADA
560030,IN,MAHARASHTRA,MUMBAI
788006,IN,KARNATAKA,Bengaluru
799260,IN,ASSAM,SILCHAR
680651,IN,TRIPURA,PANISAGAR
226020,IN,KERALA,Mannuthy
793001,IN,UTTAR PRADESH,Lucknow
411027,IN,MEGHALAYA,SHILLONG
781005,IN,MAHARASHTRA,Pimpri Chinchwad
400061,IN,ASSAM,GUWAHATI
611105,IN,MAHARASHTRA,Mumbai
415002,IN,TAMIL NADU,NAGAPATTINAM
248001,IN,MAHARASHTRA,SATARA
533296,IN,UTTARAKHAND,DEHRADUN
641031,IN,ANDHRA PRADESH,RAJAHMUNDRY
505468,IN,TAMIL NADU,NARASIMHANAICKENPALAYAM
797001,IN,TELANGANA,HUZURABAD
500030,IN,NAGALAND,KOHIMA
831018,IN,TELANGANA,HYDERABAD
721607,IN,JHARKHAND,JAMSHEDPUR
600014,IN,WEST BENGAL,"Haldia, East Madnipur"
711103,IN,TAMIL NADU,CHENNAI
608002,IN,WEST BENGAL,HOWRAH
122018,IN,TAMIL NADU,"Annamalai nagar, Chidambaram"
560100,IN,HARYANA,GURUGRAM
500058,IN,KARNATAKA,BENGALURU
700135,IN,TELANGANA,KANCHANBAGH  HYDERABAD
411030,IN,WEST BENGAL,NEW TOWN
629004,IN,MAHARASHTRA,PUNE
403601,IN,TAMIL NADU,NAGERCOIL
700102,IN,GOA,MARGAO
500044,IN,WEST BENGAL,KOLKATA
608601,IN,TELANGANA,HYDERABAD
781007,IN,TAMIL NADU,BHUVANAGIRI
492015,IN,ASSAM,Guwahati
140301,IN,CHHATTISGARH,Raipur
201012,IN,MAHARASHTRA,Pimpri Chinchwad
380015,IN,PUNJAB,MOHALI
211002,IN,UTTAR PRADESH,GHAZIABAD
781029,IN,Gujarat,AHMEDABAD
606701,IN,UTTAR PRADESH,PRAYAGRAJ
607106,IN,ASSAM,GUWAHATI
134117,IN,TAMIL NADU,CHENGAM
700048,IN,TAMIL NADU,PANRUTI
276136,IN,HARYANA,PANCHKULA
500068,IN,WEST BENGAL,KOLKATA
462038,IN,UTTAR PRADESH,AZAMGARH
600021,IN,TELANGANA,HYDERABAD
636102,IN,MADHYA PRADESH,BHOPAL
411018,IN,TAMIL NADU,CHENNAI
400614,IN,TAMIL NADU,Attur
600091,IN,MAHARASHTRA,PIMPRI CHINCHWAD
515591,IN,MAHARASHTRA,NAVI MUMBAI
180002,IN,TAMIL NADU,CHENNAI
400067,IN,ANDHRA PRADESH,KADIRI
605010,IN,JAMMU & KASHMIR,JAMMU
560022,IN,MAHARASHTRA,MUMBAI
415612,IN,PUDUCHERRY,PUDUCHERRY
800006,IN,KARNATAKA,BENGALURU
671319,IN,MAHARASHTRA,RATNAGIRI
400094,IN,BIHAR,PATNA
110015,IN,KERALA,UDMA
570016,IN,MAHARASHTRA,MUMBAI
500056,IN,DELHI,NEW DELHI
362220,IN,KARNATAKA,MYSURU
400037,IN,TELANGANA,Secunderabad
500029,IN,Gujarat,Keshod
421301,IN,MAHARASHTRA,MUMBAI
560067,IN,TELANGANA,Secunderabad
400054,IN,TELANGANA,HYDERABAD
691577,IN,MAHARASHTRA,Kalyan west
384265,IN,KARNATAKA,Bengaluru
560016,IN,MAHARASHTRA,MUMBAI
500034,IN,KERALA,THAZHUTHALA
400612,IN,Gujarat,PATAN
226010,IN,KARNATAKA,BENGALURU
641044,IN,TELANGANA,HYDERABAD
400104,IN,MAHARASHTRA,Thane
110077,IN,UTTAR PRADESH,LUCKNOW
400605,IN,TAMIL NADU,COIMBATORE
743272,IN,MAHARASHTRA,MUMBAI
411020,IN,DELHI,NEW DELHI
502032,IN,MAHARASHTRA,THANE
400610,IN,WEST BENGAL,HABRA
575006,IN,MAHARASHTRA,Pune
180005,IN,TELANGANA,HYDERABAD
221002,IN,MAHARASHTRA,THANE
680104,IN,KERALA,Kottayam
380051,IN,KARNATAKA,MANGALORE
620102,IN,JAMMU & KASHMIR,JAMMU
500081,IN,UTTAR PRADESH,VARANASI
462023,IN,KERALA,PALUVAI
400060,IN,Gujarat,AHMEDABAD
250341,IN,TAMIL NADU,TIRUCHIRAPPALLI - 620102
560103,IN,TELANGANA,HYDERABAD
799006,IN,MADHYA PRADESH,BHOPAL
402110,IN,MAHARASHTRA,MUMBAI
110018,IN,UTTAR PRADESH,SARDHANA
573201,IN,KARNATAKA,BENGALURU
412409,IN,TRIPURA,AGARTALA
560033,IN,MAHARASHTRA,SHRIVARDHAN
603002,IN,DELHI,NEW DELHI
600056,IN,KARNATAKA,Hassan
401601,IN,MAHARASHTRA,PUNE
143530,IN,KARNATAKA,BENGALURU
110059,IN,TAMIL NADU,MAHINDRA WORLD CITY
500090,IN,TAMIL NADU,chennai
523001,IN,MAHARASHTRA,DAHANU
700079,IN,PUNJAB,Gurdaspur
380005,IN,DELHI,NEW DELHI
793002,IN,TELANGANA,HYDERABAD
752050,IN,MAHARASHTRA,MUMBAI
689504,IN,ANDHRA PRADESH,ONGOLE
400071,IN,WEST BENGAL,KOLKATA
226014,IN,Gujarat,AHMEDABAD
530003,IN,MEGHALAYA,SHILLONG
580024,IN,ODISHA,JATANI
560028,IN,KERALA,ALAPPUZHA
122004,IN,MAHARASHTRA,"Chembur East, MUMBAI"
625706,IN,UTTAR PRADESH,LUCKNOW
759001,IN,ANDHRA PRADESH,VISAKHAPATNAM
600130,IN,KARNATAKA,HUBBALLI
695035,IN,KARNATAKA,BENGALURU
600044,IN,HARYANA,GURUGRAM
411033,IN,TAMIL NADU,Madurai
760001,IN,ODISHA,DHENKANAL
400078,IN,TAMIL NADU,CHENNAI
410206,IN,KERALA,THIRUVANANTHAPURAM
800007,IN,TAMIL NADU,CHENNAI
533005,IN,MAHARASHTRA,PIMPRI CHINCHWAD
641037,IN,ODISHA,BERHAMPUR
781018,IN,MAHARASHTRA,MUMBAI
201307,IN,MAHARASHTRA,NAVI MUMBAI
673004,IN,BIHAR,PATNA
201010,IN,ANDHRA PRADESH,KAKINADA
410203,IN,TAMIL NADU,COIMBATORE
500043,IN,ASSAM,GUWAHATI
396195,IN,UTTAR PRADESH,NOIDA
411057,IN,KERALA,KOZHIKODE
400092,IN,UTTAR PRADESH,Ghaziabad
673573,IN,MAHARASHTRA,KHOPOLI
313002,IN,TELANGANA,HYDERABAD
758021,IN,Gujarat,VAPI
500062,IN,MAHARASHTRA,PUNE
201102,IN,MAHARASHTRA,MUMBAI
560026,IN,KERALA,KOZHIKODE
800002,IN,RAJASTHAN,UDAIPUR
560085,IN,ODISHA,ANANDAPUR
143001,IN,TELANGANA,HYDERABAD
560095,IN,UTTAR PRADESH,Loni
431005,IN,KARNATAKA,BENGALURU
500080,IN,BIHAR,PATNA
845305,IN,KARNATAKA,Bangalore
500009,IN,PUNJAB,AMRITSAR
400607,IN,KARNATAKA,BENGALURU
680553,IN,MAHARASHTRA,AURANGABAD
607303,IN,TELANGANA,HYDERABAD
201308,IN,BIHAR,RAXAUL BAZAR
500039,IN,TELANGANA,SECUNDERABAD
211006,IN,MAHARASHTRA,THANE
506002,IN,KERALA,THRISSUR
146105,IN,TAMIL NADU,VADALUR
678684,IN,UTTAR PRADESH,GREATER NOIDA
382030,IN,TELANGANA,Uppal
560097,IN,UTTAR PRADESH,ALLAHABAD
110053,IN,TELANGANA,WARANGAL
400022,IN,PUNJAB,MAHILPUR
627414,IN,KERALA,PALAKKAD
516001,IN,Gujarat,Gandhinagar
571313,IN,KARNATAKA,BENGALURU
815351,IN,DELHI,NEW DELHI
603102,IN,MAHARASHTRA,MUMBAI
854318,IN,TAMIL NADU,Tirunelveli
560037,IN,ANDHRA PRADESH,KADAPA
741235,IN,KARNATAKA,CHAMARAJANAGAR
160101,IN,JHARKHAND,JAMTARA
560098,IN,TAMIL NADU,Kalpakam
500048,IN,BIHAR,Forbesganj
110078,IN,KARNATAKA,Bangalore
110065,IN,WEST BENGAL,KALYANI
581325,IN,CHANDIGARH,CHANDIGARH
600010,IN,KARNATAKA,BENGALURU
744105,IN,TELANGANA,HYDERABAD
560013,IN,DELHI,NEW DELHI
440021,IN,DELHI,New delhi
570004,IN,KARNATAKA,DANDELI
440026,IN,TAMIL NADU,CHENNAI
641015,IN,ANDAMAN & NICOBAR ,Garacharma
500072,IN,MAHARASHTRA,Kalyan west
605110,IN,KARNATAKA,Bengaluru
500050,IN,MAHARASHTRA,NAGPUR
560087,IN,KARNATAKA,MYSURU
560061,IN,MAHARASHTRA,NAGPUR
202137,IN,TAMIL NADU,coimbatore
400708,IN,TELANGANA,HYDERABAD
524004,IN,PUDUCHERRY,PUDUCHERRY
401203,IN,TELANGANA,HYDERABAD
560046,IN,KARNATAKA,BENGALURU
403516,IN,KARNATAKA,BENGALURU
580008,IN,UTTAR PRADESH,JATARI
400068,IN,MAHARASHTRA,NAVI MUMBAI
400097,IN,MAHARASHTRA,"Nigdi, Pune"
531031,IN,ANDHRA PRADESH,NELLORE
769004,IN,MAHARASHTRA,Vasai
520003,IN,KARNATAKA,BENGALURU
560035,IN,GOA,CALANGUTE
517501,IN,KARNATAKA,DHARWAD
600018,IN,MAHARASHTRA,Mumbai
712233,IN,MAHARASHTRA,MUMBAI
601201,IN,ANDHRA PRADESH,Thallapalem
603103,IN,ODISHA,ROURKELA
600040,IN,ANDHRA PRADESH,VIJAYAWADA
245101,IN,KARNATAKA,BENGALURU
854301,IN,ANDHRA PRADESH,TIRUPATI
600023,IN,TAMIL NADU,CHENNAI
516227,IN,WEST BENGAL,UTTARPARA KOTRUNG
411008,IN,TAMIL NADU,GUMMIDIPOONDI
500038,IN,TAMIL NADU,CHENNAI
590016,IN,TAMIL NADU,Chennai
700091,IN,UTTAR PRADESH,HAPUR
560094,IN,BIHAR,PURNIA
396125,IN,TAMIL NADU,CHENNAI
560080,IN,MAHARASHTRA,Dombivli east
755026,IN,ANDHRA PRADESH,BADVEL
625207,IN,MAHARASHTRA,PUNE
440010,IN,TELANGANA,HYDERABAD
700009,IN,KARNATAKA,BELAGAVI
636006,IN,WEST BENGAL,Kolkata
560102,IN,KARNATAKA,BENGALURU
131301,IN,Gujarat,PARDI
390021,IN,KARNATAKA,BENGALURU
636401,IN,ODISHA,KALINGA NAGAR INDUSTRIAL AREA
400066,IN,TAMIL NADU,MADURAI
212601,IN,MAHARASHTRA,NAGPUR
110096,IN,WEST BENGAL,KOLKATA
683102,IN,TAMIL NADU,SALEM
530016,IN,KARNATAKA,BENGALURU
700043,IN,HARYANA,GOHANA
231225,IN,Gujarat,VADODARA
110019,IN,TAMIL NADU,METTUR
110070,IN,MAHARASHTRA,MUMBAI
700029,IN,UTTAR PRADESH,FATEHPUR FATEHPUR DISTRICT
713103,IN,DELHI,NEW DELHI
560055,IN,KERALA,ERNAKULAM
560086,IN,ANDHRA PRADESH,VISAKHAPATNAM
201002,IN,WEST BENGAL,KOLKATA
700028,IN,UTTAR PRADESH,Anpara
452013,IN,DELHI,New Delhi
133104,IN,DELHI,NEW DELHI
600117,IN,WEST BENGAL,KOLKATA
400706,IN,WEST BENGAL,BURDWAN
506144,IN,KARNATAKA,BENGALURU
410401,IN,KARNATAKA,BENGALURU
628204,IN,KARNATAKA,BENGALURU
560045,IN,UTTAR PRADESH,GHAZIABAD
110017,IN,WEST BENGAL,KOLKATA
122011,IN,MADHYA PRADESH,INDORE
605754,IN,HARYANA,AMBALA
600122,IN,TAMIL NADU,CHENNAI
600077,IN,MAHARASHTRA,NAVI MUMBAI
834001,IN,TELANGANA,WARANGAL
411038,IN,MAHARASHTRA,AAMBY VALLEY
782002,IN,TAMIL NADU,KAYALPATTINAM
560065,IN,KARNATAKA,BENGALURU
573134,IN,DELHI,NEW DELHI
400075,IN,HARYANA,GURUGRAM
400079,IN,TAMIL NADU,MANALURPET
135001,IN,TAMIL NADU,Chennai
131101,IN,TAMIL NADU,CHENNAI
110058,IN,JHARKHAND,RANCHI
201017,IN,MAHARASHTRA,PUNE
600099,IN,ASSAM,NAGAON
263139,IN,KARNATAKA,BENGALURU
500092,IN,KARNATAKA,SAKLESHPUR
632009,IN,MAHARASHTRA,MUMBAI
782138,IN,MAHARASHTRA,MUMBAI
380058,IN,HARYANA,YAMUNANAGAR
700012,IN,HARYANA,GANAUR
600095,IN,DELHI,NEW DELHI
600073,IN,UTTAR PRADESH,GHAZIABAD
600118,IN,TAMIL NADU,CHENNAI
534202,IN,UTTARAKHAND,KALADHUNGI
605009,IN,TELANGANA,HYDERABAD
753014,IN,TAMIL NADU,VELLORE
110091,IN,ASSAM,NAGAON
516390,IN,Gujarat,AHMEDABAD
500049,IN,WEST BENGAL,KOLKATA
110051,IN,TAMIL NADU,CHENNAI
491441,IN,TAMIL NADU,CHENNAI
560047,IN,TAMIL NADU,CHENNAI
335001,IN,ANDHRA PRADESH,BHIMAVARAM
834008,IN,PUDUCHERRY,PUDUCHERRY
600063,IN,ODISHA,CUTTACK
110089,IN,DELHI,NEW DELHI
400013,IN,ANDHRA PRADESH,Pulivendula
741246,IN,TELANGANA,Hyderabad
676306,IN,DELHI,NEW DELHI
679324,IN,CHHATTISGARH,RAJNANDGAON
821101,IN,KARNATAKA,BENGALURU
502319,IN,RAJASTHAN,SRI GANGANAGAR
422001,IN,JHARKHAND,RANCHI
576105,IN,TAMIL NADU,CHENNAI
382421,IN,DELHI,delhi
411045,IN,MAHARASHTRA,MUMBAI
122017,IN,WEST BENGAL,HARINGHATA FARM
201001,IN,KERALA,TIRURANGADI
380061,IN,KERALA,MALAPPURAM
314025,IN,BIHAR,KAIMUR BHABUA
273010,IN,TELANGANA,HYDERABAD
828111,IN,MAHARASHTRA,Nasik
700042,IN,KARNATAKA,UDUPI
530017,IN,Gujarat,ADALAJ
180013,IN,MAHARASHTRA,PUNE
691555,IN,HARYANA,GURUGRAM
700157,IN,UTTAR PRADESH,GHAZIABAD
700074,IN,Gujarat,AHMEDABAD
400074,IN,RAJASTHAN,SAGWARA
500059,IN,UTTAR PRADESH,GORAKHPUR
202001,IN,JHARKHAND,JHARIA KHAS
221011,IN,WEST BENGAL,KOLKATA
110033,IN,ANDHRA PRADESH,VISAKHAPATNAM
201014,IN,JAMMU & KASHMIR,JAMMU
110025,IN,KERALA,PATHANAMTHITTA
530045,IN,WEST BENGAL,NEW TOWN
431515,IN,KARNATAKA,Bangalore
201301,IN,WEST BENGAL,KOLKATA
382026,IN,MAHARASHTRA,MUMBAI
262701,IN,TELANGANA,Hyderabad
576108,IN,UTTAR PRADESH,ALIGARH
531126,IN,UTTAR PRADESH,VARANASI
785666,IN,DELHI,NEW DELHI
635601,IN,UTTAR PRADESH,GHAZIABAD
700041,IN,DELHI,NEW DELHI
500035,IN,ANDHRA PRADESH,VISAKHAPATNAM
403004,IN,MAHARASHTRA,PARLI VAIJNATH
410210,IN,UTTAR PRADESH,Gautam Buddha Nagar
695583,IN,DELHI,Dwarka
635109,IN,Gujarat,GANDHINAGAR
412207,IN,UTTAR PRADESH,KHERI
110063,IN,KARNATAKA,UDUPI
781382,IN,ANDHRA PRADESH,Payakaraopeta
110052,IN,ASSAM,SIBSAGAR
411014,IN,TAMIL NADU,TIRUPATHUR DISTRICT
421302,IN,WEST BENGAL,Kolkata
110049,IN,TELANGANA,HYDERABAD
500016,IN,GOA,PANAJI
400705,IN,MAHARASHTRA,RAIGAD
638004,IN,KERALA,THIRUVANANTHAPURAM
626203,IN,UTTAR PRADESH,GREATER NOIDA
305001,IN,TAMIL NADU,HOSUR
560004,IN,MAHARASHTRA,"Wagholi, PUNE"
700107,IN,DELHI,NEW DELHI
121006,IN,ASSAM,RANGIA PART
641004,IN,DELHI,NEW DELHI
370465,IN,MAHARASHTRA,PUNE
560029,IN,MAHARASHTRA,BHIWANDI
221005,IN,DELHI,NEW DELHI
744101,IN,TELANGANA,HYDERABAD
560064,IN,MAHARASHTRA,NAVI MUMBAI
500074,IN,TAMIL NADU,Erode
490011,IN,TAMIL NADU,SATTUR
390020,IN,RAJASTHAN,AJMER
829107,IN,KARNATAKA,BENGALURU
411052,IN,WEST BENGAL,KOLKATA
411035,IN,HARYANA,FARIDABAD
226012,IN,TAMIL NADU,COIMBATORE
560010,IN,Gujarat,MANDVI KACHCHH DISTRICT
305007,IN,KARNATAKA,BENGALURU
680012,IN,UTTAR PRADESH,VARANASI
695586,IN,ANDAMAN & NICOBAR ,PORT BLAIR
248005,IN,KARNATAKA,Bengaluru
753001,IN,TELANGANA,HYDERABAD
302012,IN,CHHATTISGARH,BHILAI
208024,IN,Gujarat,VADODARA
700112,IN,JHARKHAND,BOKARO THERMAL TOWNSHIP
641002,IN,MAHARASHTRA,PUNE
190018,IN,KARNATAKA,BENGALURU
785640,IN,MAHARASHTRA,PIMPRI CHINCHWAD
442401,IN,UTTAR PRADESH,LUCKNOW
574104,IN,KARNATAKA,Bengaluru
160104,IN,RAJASTHAN,AJMER
583104,IN,KERALA,THRISSUR
110021,IN,KERALA,THIRUVANANTHAPURAM
190005,IN,UTTARAKHAND,DEHRADUN
560048,IN,ODISHA,CUTTACK
600028,IN,RAJASTHAN,JAIPUR
140603,IN,UTTAR PRADESH,KANPUR
411015,IN,WEST BENGAL,KHARDAHA
641029,IN,TAMIL NADU,COIMBATORE
577301,IN,JAMMU & KASHMIR,SRINAGAR
176206,IN,ASSAM,SIBSAGAR
400056,IN,MAHARASHTRA,CHANDRAPUR
110030,IN,KARNATAKA,KARKALA
221007,IN,PUNJAB,ZIRAKPUR
751021,IN,KARNATAKA,BALLARI
415301,IN,DELHI,NEW DELHI
271201,IN,JAMMU & KASHMIR,SRINAGAR
201303,IN,KARNATAKA,BENGALURU
600039,IN,TAMIL NADU,CHENNAI
110003,IN,PUNJAB,ZIRAKPUR
500027,IN,MAHARASHTRA,PUNE
110041,IN,TAMIL NADU,COIMBATORE
400005,IN,KARNATAKA,BHADRAVATI
797112,IN,HIMACHAL PRADESH,KANGRA
500008,IN,MAHARASHTRA,MUMBAI
201016,IN,DELHI,NEW DELHI
400059,IN,UTTAR PRADESH,VARANASI
500060,IN,ODISHA,BHUBANESWAR
829127,IN,MAHARASHTRA,Sangli
182311,IN,UTTAR PRADESH,Balrampur
421001,IN,UTTAR PRADESH,NOIDA
401208,IN,TAMIL NADU,CHENNAI
226025,IN,DELHI,NEW DELHI
400077,IN,DELHI,NEW DELHI
570011,IN,TELANGANA,HYDERABAD
174303,IN,DELHI,NEW DELHI
560041,IN,MAHARASHTRA,MUMBAI
764020,IN,NAGALAND,DIMAPUR
562102,IN,TELANGANA,Hyderabad
695141,IN,UTTAR PRADESH,GHAZIABAD
481661,IN,MAHARASHTRA,MUMBAI
517235,IN,TELANGANA,HYDERABAD
524101,IN,JHARKHAND,BERMO
534425,IN,JAMMU & KASHMIR,REASI
686631,IN,MAHARASHTRA,Ulhasnagar
731236,IN,MAHARASHTRA,Naigaon east
521201,IN,UTTAR PRADESH,LUCKNOW
695020,IN,MAHARASHTRA,MUMBAI
737101,IN,KARNATAKA,MYSURU
226003,IN,HIMACHAL PRADESH,UNA
400050,IN,KARNATAKA,BENGALURU
796012,IN,ODISHA,KORAPUT
577426,IN,KARNATAKA,SIDLAGHATTA
560014,IN,KERALA,VARKALA
121002,IN,MADHYA PRADESH,MANDLA
560073,IN,ANDHRA PRADESH,CHITTOOR
577204,IN,ANDHRA PRADESH,GUDUR
502103,IN,ANDHRA PRADESH,BHIMADOLE
500089,IN,KERALA,ETTUMANOOR
570010,IN,WEST BENGAL,BOLPUR
209203,IN,ANDHRA PRADESH,NUZVID
277001,IN,KERALA,Thiruvananthpuram
691001,IN,SIKKIM,EAST SIKKIM
194101,IN,UTTAR PRADESH,LUCKNOW
689645,IN,MAHARASHTRA,MUMBAI
601203,IN,MIZORAM,AIZAWL
695013,IN,KARNATAKA,"HOSANAGARA(tq), SHIMOGA(DIST)"
576235,IN,KARNATAKA,BENGALURU
500098,IN,HARYANA,FARIDABAD
495006,IN,KARNATAKA,Bangalore
