OrderID,ship_service_level,ship_city,ship_state,ship_postal_code,ship_country
407-8156698-6909161,Expedited,JAMMU,JAMMU & KASHMIR,180005,IN
408-0064612-3599564,Standard,VARANASI,UTTAR PRADESH,221002,IN
171-6202792-2373910,Expedited,PALUVAI,KERALA,680104,IN
405-6243176-1607561,Expedited,AHMEDABAD,Gujarat,380051,IN
404-6212188-6558768,Expedited,TIRUCHIRAPPALLI - 620102,TAMIL NADU,620102,IN
404-6655175-9021124,Standard,HYDERABAD,TELANGANA,500081,IN
408-1183855-5512366,Expedited,BENGALURU,KARNATAKA,560078,IN
404-3779427-9271547,Expedited,BHOPAL,MADHYA PRADESH,462023,IN
406-6091421-4054736,Expedited,MUMBAI,MAHARASHTRA,400060,IN
402-6165474-5164365,Standard,SARDHANA,UTTAR PRADESH,250341,IN
171-1076007-9658755,Expedited,BENGALURU,KARNATAKA,560103,IN
404-7708906-5489129,Expedited,AGARTALA,TRIPURA,799006,IN
407-1897646-4645906,Standard,AURANGABAD,MAHARASHTRA,431001,IN
404-9644480-5985908,Expedited,Dehradun,UTTARAKHAND,248001,IN
405-3321941-7605965,Standard,SHRIVARDHAN,MAHARASHTRA,402110,IN
407-3214538-7679539,Expedited,NEW DELHI,DELHI,110018,IN
404-1688942-4084343,Expedited,Hassan,KARNATAKA,573201,IN
407-2688982-0165102,Expedited,PUNE,MAHARASHTRA,412409,IN
403-1012667-8320346,Expedited,BENGALURU,KARNATAKA,560033,IN
406-3333555-1973130,Expedited,MUMBAI,MAHARASHTRA,400072,IN
406-3457660-7780325,Expedited,MAHINDRA WORLD CITY,TAMIL NADU,603002,IN
405-2493300-0792334,Standard,chennai,TAMIL NADU,600056,IN
402-5209770-8937165,Expedited,DAHANU,MAHARASHTRA,401601,IN
404-8059349-6110751,Expedited,Gurdaspur,PUNJAB,143530,IN
406-3590993-5363569,Expedited,NEW DELHI,DELHI,110059,IN
404-9159101-2329924,Expedited,NEW DELHI,DELHI,110059,IN
408-0569703-2829911,Standard,HYDERABAD,TELANGANA,500090,IN
408-8495209-0089917,Standard,HYDERABAD,TELANGANA,500046,IN
402-7046051-1597953,Expedited,Kandivali East Mumbai,MAHARASHTRA,400101,IN
402-6931239-0331527,Expedited,NAGPUR,MAHARASHTRA,440018,IN
171-7354232-8142710,Standard,ONGOLE,ANDHRA PRADESH,523001,IN
171-4573464-5557100,Expedited,ONGOLE,ANDHRA PRADESH,523001,IN
407-8655822-9303505,Standard,KOLKATA,WEST BENGAL,700079,IN
171-3739098-8680340,Expedited,AHMEDABAD,Gujarat,380005,IN
402-3374098-2592346,Expedited,SHILLONG,MEGHALAYA,793002,IN
407-1908701-9727556,Expedited,JATANI,ODISHA,752050,IN
171-8518235-0004369,Standard,ALAPPUZHA,KERALA,689504,IN
403-7106465-8186704,Expedited,"Chembur East, MUMBAI",MAHARASHTRA,400071,IN
407-7695791-8773132,Standard,LUCKNOW,UTTAR PRADESH,226014,IN
405-0419042-4801131,Expedited,VISAKHAPATNAM,ANDHRA PRADESH,530003,IN
404-1162481-0061935,Expedited,HUBBALLI,KARNATAKA,580024,IN
402-9618182-2877917,Expedited,BENGALURU,KARNATAKA,560028,IN
402-0262366-0513120,Expedited,GURUGRAM,HARYANA,122004,IN
403-9497932-1051523,Expedited,Madurai,TAMIL NADU,625706,IN
408-4657300-5488337,Standard,Bengaluru,KARNATAKA,560066,IN
403-3983318-6882700,Standard,DHENKANAL,ODISHA,759001,IN
407-8286745-0623565,Standard,CHENNAI,TAMIL NADU,600130,IN
404-5344790-9889152,Expedited,THIRUVANANTHAPURAM,KERALA,695035,IN
406-6655264-7622719,Standard,CHENNAI,TAMIL NADU,600044,IN
402-1851298-4940368,Expedited,PIMPRI CHINCHWAD,MAHARASHTRA,411033,IN
406-2412678-0640324,Expedited,CHENNAI,TAMIL NADU,600044,IN
403-2613442-2966738,Expedited,DEHRADUN,UTTARAKHAND,248001,IN
408-1772932-3342718,Expedited,BERHAMPUR,ODISHA,760001,IN
406-4367267-1380324,Standard,MUMBAI,MAHARASHTRA,400078,IN
407-8143816-4346706,Expedited,NAVI MUMBAI,MAHARASHTRA,410206,IN
408-2005311-6389126,Expedited,BERHAMPUR,ODISHA,760001,IN
171-7772888-9085957,Expedited,PATNA,BIHAR,800007,IN
171-0661125-1138738,Expedited,KAKINADA,ANDHRA PRADESH,533005,IN
406-2049073-5707561,Expedited,COIMBATORE,TAMIL NADU,641037,IN
408-1425188-0453134,Expedited,GUWAHATI,ASSAM,781018,IN
