SKU,Style,Category,Size,Color,Inventory
SET378-KR-NP-XXL,SET378,Set,XXL,Blue,5
J0097-KR-S,J0097,kurta,S,Indigo,10
JNE3431-KR-XXL,JNE3431,kurta,XXL,Maroon,5
JNE3798-KR-XL,JNE3798,Western Dress,XL,Teal,4
J0164-DR-XXXL,J0164,Ethnic Dress,3XL,Orange,4
SET184-KR-PP-XXXL,SET184,Set,3XL,Teal,4
JNE3573-KR-XXL,JNE3573,kurta,XXL,Grey,4
J0008-SKD-L,J0008,Set,L,Mustard,89
SET220-KR-PP-XL,SET220,Set,XL,White,3
J0212-DR-XL,J0212,Ethnic Dress,XL,Green,5
J0158-DR-XL,J0158,Western Dress,XL,White,78
SET305-KR-DPT-XL,SET305,Set,XL,Peach,37
SET369-KR-NP-M,SET369,Set,M,Light Pink,20
SET436-KR-NP-XS,SET436,Set,XS,Pink,41
SET355-KR-PP-S,SET355,Set,S,Light Green,13
JNE3484-KR-XS,JNE3484,kurta,XS,Olive,15
SET342-KR-NP-N-XS,SET342,Set,XS,,0
J0224-SKD-XS,J0224,Set,XS,Pink,45
JNE3440-KR-N-XS,JNE3440,kurta,XS,,0
PJNE2199-KR-N-4XL,PJNE2199,kurta,4XL,,0
SET250-KR-SHA-XS,SET250,Set,XS,Magenta,2
JNE3781-KR-XXXL,JNE3781,kurta,3XL,Green,96
JNE2171-KR-437-M,JNE2171,kurta,M,White,5
JNE3798-KR-XS,JNE3798,Western Dress,XS,Teal,13
JNE3716-KR-XL,JNE3716,kurta,XL,Teal,144
SET389-KR-NP-XXL,SET389,Set,XXL,White,5
JNE3501-KR-XL,JNE3501,kurta,XL,Pink,23
J0013-SKD-L,J0013,Set,L,Light Green,7
J0340-TP-M,J0340,Top,M,Green,40
JNE3633-KR-M,JNE3633,kurta,M,Green,55
JNE3659-TP-N-M,JNE3659,Top,M,,0
J0117-TP-XL,J0117,Top,XL,White,58
JNE3807-KR-S,JNE3807,kurta,S,Beige,10
JNE3468-KR-XXXL,JNE3468,kurta,3XL,Teal,67
SET316-KR-DPT-M,SET316,Set,M,Navy Blue,52
SET331-KR-NP-XXL,SET331,Set,XXL,Green,116
SET376-KR-NP-XL,SET376,Set,XL,Dark Green,27
J0285-SKD-XXXL,J0285,Set,3XL,Grey,38
JNE3334-KR-S,JNE3334,kurta,S,Black,37
JNE3797-KR-A-XL,JNE3797,Western Dress,XL,,0
NW039-TP-SR-S,NW039,Set,S,Yellow,4
JNE3801-KR-S,JNE3801,kurta,S,Pink,3
JNE2171-KR-437-L,JNE2171,kurta,L,White,5
SET183-KR-DH-M,SET183,Set,M,Olive Green,73
SET293-KR-NP-XL,SET293,Set,XL,Blue,4
J0012-SKD-L,J0012,Set,L,Green,10
SET317-KR-PP-L,SET317,Set,L,Olive Green,6
J0230-SKD-L,J0230,Set,L,Blue,51
JNE3800-KR-A-XXXL,JNE3800,Western Dress,3XL,,0
J0379-SKD-L,J0379,Set,L,Green,3
J0002-SKD-S,J0002,Set,S,Peach,165
J0398-DR-XL,J0398,Western Dress,XL,Wine,21
JNE3880-DR-S,JNE3880,Western Dress,S,Peach,42
SET224-KR-NP-XXXL,SET224,Set,3XL,Rust,65
SET310-KR-NP-XXL,SET310,Set,XXL,Green,13
JNE3265-KR-M,JNE3265,kurta,M,Light Green,6
JNE3534-KR-M,JNE3534,kurta,M,Turquoise,6
JNE3887-KR-S,JNE3887,kurta,S,White,56
SET187-KR-DH-XL,SET187,Set,XL,Peach,71
JNE3543-KR-XS,JNE3543,kurta,XS,Cream,7
MEN5002-KR-L,MEN5002,kurta,L,Blue,12
MEN5024-KR-M,MEN5024,kurta,M,Blue,8
J0382-SKD-S,J0382,Set,S,Grey,18
JNE3810-KR-M,JNE3810,kurta,M,Black,13
JNE3834-KR-M,JNE3834,kurta,M,Orange,41
JNE3701-KR-S,JNE3701,kurta,S,Orange,123
J0175-KR-M,J0175,kurta,M,Maroon,9
SET444-KR-SH-S,SET444,Set,S,Peach,44
JNE3837-KR-S,JNE3837,kurta,S,Black,40
J0236-SKD-M,J0236,Set,M,Pink,3
JNE3697-KR-M,JNE3697,kurta,M,Mauve,81
J0005-DR-S,J0005,Western Dress,S,Light Green,29
JNE3797-KR-XS,JNE3797,Western Dress,XS,Green,101
SET197-KR-NP-XXXL,SET197,Set,3XL,Mustard,49
J0003-SET-XS,J0003,Set,XS,Mustard,13
J0157-DR-L,J0157,Western Dress,L,Black,9
J0341-DR-XL,J0341,Western Dress,XL,Blue,31
JNE3784-KR-S,JNE3784,kurta,S,Green,116
JNE3797-KR-XXXL,JNE3797,Western Dress,3XL,Green,4
J0230-SKD-M,J0230,Set,M,Blue,152
SET373-KR-PP-XXXL,SET373,Set,3XL,Maroon,52
SET357-KR-NP-L,SET357,Set,L,Pink,2
PJNE3252-KR-N-6XL,PJNE3252,kurta,6XL,,0
JNE3761-KR-XL,JNE3761,kurta,XL,Olive Green,69
BL111-M,BL111,Blouse,M,Black,6
JNE3787-KR-XL,JNE3787,kurta,XL,Blue,6
J0352-KR-S,J0352,kurta,S,Green,30
J0179-KR-S,J0179,kurta,S,Multicolor,4
JNE3838-KR-XS,JNE3838,kurta,XS,Black,35
J0097-KR-XXXL,J0097,kurta,3XL,Indigo,4
JNE3574-KR-S,JNE3574,kurta,S,Light Green,4
JNE3373-KR-XL,JNE3373,kurta,XL,Black,45
JNE3800-KR-A-L,JNE3800,Western Dress,L,,0
PSET043-KR-NP-6XL,PSET043,Set,6XL,Teal,0
SET324-KR-NP-XXL,SET324,Set,XXL,Peach,5
PJNE3440-KR-N-5XL,PJNE3440,kurta,5XL,,0
J0135-SET-L,J0135,Set,L,Green,4
JNE3659-TP-N-L,JNE3659,Top,L,,0
JNE3612-KR-L,JNE3612,kurta,L,Light Green,14
JNE3612-KR-M,JNE3612,kurta,M,Light Green,45
J0431-DR-S,J0431,Western Dress,S,Blue,61
JNE3703-KR-S,JNE3703,kurta,S,Green,14
SET209-KR-PP-M,SET209,Set,M,Pink,15
J0290-CD-XL,J0290,Top,XL,Mustard,11
JNE3670-TU-XS,JNE3670,Top,XS,White,5
NW012-TP-PJ-XXL,NW012,Set,XXL,Green,4
JNE3739-KR-L,JNE3739,kurta,L,Maroon,15
JNE3756-KR-M,JNE3756,kurta,M,Olive Green,78
JNE3614-KR-XL,JNE3614,kurta,XL,TEAL GREEN ,54
JNE3781-KR-XXL,JNE3781,kurta,XXL,Green,112
JNE3369-KR-XL,JNE3369,kurta,XL,Black,15
JNE3807-KR-XXXL,JNE3807,kurta,3XL,Beige,12
MEN5031-KR-L,MEN5031,kurta,L,Maroon,39
JNE3518-KR-XL,JNE3518,kurta,XL,Turquoise,6
J0354-KR-XXL,J0354,kurta,XXL,Pink,26
JNE3366-KR-1053-L,JNE3366,kurta,L,Peach,246
JNE2014-KR-178-S,JNE2014,kurta,S,Multicolor,16
J0025-DR-S,J0025,Western Dress,S,Sea Green,4
J0380-SKD-XXL,J0380,Set,XXL,Pink,14
JNE3373-KR-L,JNE3373,kurta,L,Black,62
JNE3716-KR-XS,JNE3716,kurta,XS,Teal,17
JNE3654-TP-XXL,JNE3654,Top,XXL,Blue,4
J0339-DR-M,J0339,Western Dress,M,Green,12
SET327-KR-DPT-XL,SET327,Set,XL,Black,27
J0002-SKD-L,J0002,Set,L,Peach,93
SET304-KR-DPT-M,SET304,Set,M,Grey,154
JNE3776-KR-XL,JNE3776,kurta,XL,Green,4
J0111-TP-XL,J0111,Top,XL,Green,7
SET044-KR-NP-S,SET044,Set,S,Mustard,9
JNE3878-KR-XL,JNE3878,kurta,XL,Wine,16
JNE3837-KR-XXXL,JNE3837,kurta,3XL,Black,18
J0280-SKD-M,J0280,Set,M,Peach,178
J0230-SKD-XS,J0230,Set,XS,Blue,148
JNE3334-KR-L,JNE3334,kurta,L,Black,6
J0244-SKD-L,J0244,Set,L,OFF WHITE,4
JNE3798-KR-A-S,JNE3798,Western Dress,S,,0
SET351-KR-NP-XXL,SET351,Set,XXL,Black,11
J0338-DR-L,J0338,Western Dress,L,Mustard,145
MEN5014-KR-XXL,MEN5014,kurta,XXL,Orange,8
JNE3257-KR-XXL,JNE3257,kurta,XXL,Magenta,9
JNE3500-KR-S,JNE3500,kurta,S,Grey,6
SET341-KR-NP-XXXL,SET341,Set,3XL,Multicolor,26
SET435-KR-NP-XL,SET435,Set,XL,Yellow,40
SET329-KR-NP-XS,SET329,Set,XS,Peach,227
JNE3336-KR-S,JNE3336,kurta,S,Sky Blue,14
JNE3658-TP-S,JNE3658,Top,S,White,5
NW003-TP-PJ-S,NW003,Set,S,Maroon,8
JNE3261-KR-XXXL,JNE3261,kurta,3XL,Peach,50
JNE3265-KR-S,JNE3265,kurta,S,Light Green,24
J0339-DR-S,J0339,Western Dress,S,Green,100
JNE3476-KR-XL,JNE3476,kurta,XL,Peach,1
SET230-KR-PP-XL,SET230,Set,XL,Blue,53
SET229-KR-PP-XXL,SET229,Set,XXL,Mauve,28
SET403-KR-NP-XXL,SET403,Set,XXL,Green,53
J0118-TP-S,J0118,Top,S,Red,41
JNE3518-KR-XXXL,JNE3518,kurta,3XL,Turquoise,4
JNE3749-KR-XXL,JNE3749,kurta,XXL,Blue,5
JNE3482-KR-XS,JNE3482,kurta,XS,Powder Blue,16
JNE3627-KR-XL,JNE3627,kurta,XL,Turquoise Blue,4
J0348-SET-XL,J0348,Set,XL,Mustard,28
JNE3707-DR-XXXL,JNE3707,Western Dress,3XL,Cream,5
JNE3865-TP-M,JNE3865,Top,M,White,2
JNE3265-KR-XXL,JNE3265,kurta,XXL,Light Green,3
SET196-KR-NP-XXL,SET196,Set,XXL,Red,26
SET239-KR-NP-XXXL,SET239,Set,3XL,OFF WHITE,4
NW032-ST-CP-XXL,NW032,Set,XXL,White,14
JNE3334-KR-XXL,JNE3334,kurta,XXL,Black,4
SET285-KR-SHA-XXL,SET285,Set,XXL,Teal,4
J0161-DR-XXL,J0161,Western Dress,XXL,Rust,4
JNE3878-KR-XXXL,JNE3878,kurta,3XL,Wine,3
JNE3265-KR-L,JNE3265,kurta,L,Light Green,8
JNE3768-KR-XS,JNE3768,kurta,XS,Peach,22
SET320-KR-NP-XS,SET320,Set,XS,Green,24
J0380-SKD-M,J0380,Set,M,Pink,16
BTM041-PP-XL,BTM041,Bottom,XL,Grey,7
J0351-SET-S,J0351,Set,S,Cream,30
SET331-KR-NP-L,SET331,Set,L,Green,217
SET144-KR-NP-XL,SET144,Set,XL,Pink,48
J0135-SET-XL,J0135,Set,XL,Green,4
J0349-SET-S,J0349,Set,S,Cream,95
JNE3764-KR-L,JNE3764,kurta,L,Magenta,75
JNE3791-DR-XL,JNE3791,Ethnic Dress,XL,Light Green,38
J0197-TP-S,J0197,Top,S,Blue,5
SET400-KR-NP-S,SET400,Set,S,Blue,73
SET205-KR-DPT-A-XXL,SET205,Set,XXL,,0
JNE3366-KR-1053-M,JNE3366,kurta,M,Peach,168
JNE3675-TU-M,JNE3675,Top,M,Pink,16
SET145-KR-NP-XL,SET145,Set,XL,Blue,5
JNE3515-KR-M,JNE3515,kurta,M,CORAL ,25
J0349-SET-M,J0349,Set,M,Cream,232
SET204-KR-DPT-S,SET204,Set,S,Green,5
J0373-KR-XS,J0373,kurta,XS,Orange,41
SET444-KR-SH-XS,SET444,Set,XS,Peach,17
JNE2086-KR-389-XL,JNE2086,kurta,XL,Multicolor,32
JNE2113-KR-381-XL,JNE2113,kurta,XL,Multicolor,5
JNE2132-KR-398-L,JNE2132,kurta,L,Pink,4
JNE3880-DR-L,JNE3880,Western Dress,L,Peach,33
JNE3461-KR-S,JNE3461,kurta,S,Teal,53
JNE3619-KR-XL,JNE3619,kurta,XL,Black,10
JNE3463-KR-XL,JNE3463,kurta,XL,Light Green,145
SET385-KR-NP-L,SET385,Set,L,Sky Blue,5
JNE3908-KR-M,JNE3908,kurta,M,Navy Blue,64
SET400-KR-NP-XL,SET400,Set,XL,Blue,38
SET291-KR-PP-XXXL,SET291,Set,3XL,Teal,8
SET287-KR-NP-L,SET287,Set,L,Teal,139
JNE3878-KR-L,JNE3878,kurta,L,Wine,24
SET351-KR-NP-XS,SET351,Set,XS,Black,38
J0152-DR-S,J0152,Western Dress,S,Blue,25
J0207-DR-L,J0207,Western Dress,L,Olive,14
J0157-DR-M,J0157,Western Dress,M,Black,5
JNE3567-KR-M,JNE3567,kurta,M,Blue,186
SET203-KR-DPT-S,SET203,Set,S,Maroon,16
JNE3463-KR-L,JNE3463,kurta,L,Light Green,235
JNE3714-KR-L,JNE3714,kurta,L,TEAL GREEN ,14
JNE3607-KR-L,JNE3607,kurta,L,Maroon,350
J0095-SET-M,J0095,Set,M,Blue,9
J0190-TP-S,J0190,Top,S,Blue,16
J0118-TP-M,J0118,Top,M,Red,138
J0301-TP-M,J0301,Top,M,Red,240
SET398-KR-PP-XXL,SET398,Set,XXL,Peach,6
SET369-KR-NP-XXL,SET369,Set,XXL,Light Pink,4
J0399-DR-XXL,J0399,Western Dress,XXL,Rust,9
J0230-SKD-XXXL,J0230,Set,3XL,Blue,26
J0008-SKD-M,J0008,Set,M,Mustard,29
J0005-DR-XL,J0005,Western Dress,XL,Light Green,31
J0001-DR-XS,J0001,Ethnic Dress,XS,Pink,42
SET375-KR-NP-XXL,SET375,Set,XXL,Maroon,39
J0344-TP-XL,J0344,Top,XL,Navy Blue,145
SET329-KR-NP-L,SET329,Set,L,Peach,97
SET058-KR-NP-XL,SET058,Set,XL,Teal,14
SET184-KR-PP-XL,SET184,Set,XL,Teal,11
J0244-SKD-M,J0244,Set,M,OFF WHITE,4
JNE3615-KR-XL,JNE3615,kurta,XL,Navy Blue,22
JNE3764-KR-XL,JNE3764,kurta,XL,Magenta,33
JNE3801-KR-XS,JNE3801,kurta,XS,Pink,5
JNE3487-KR-S,JNE3487,kurta,S,Peach,77
SET185-KR-NP-XL,SET185,Set,XL,Mustard,42
SET288-KR-NP-XL,SET288,Set,XL,Grey,10
J0373-KR-L,J0373,kurta,L,Orange,5
SET144-KR-NP-XXL,SET144,Set,XXL,Pink,23
SET233-KR-PP-M,SET233,Set,M,Pink,4
SET144-KR-NP-M,SET144,Set,M,Pink,51
J0338-DR-XXL,J0338,Western Dress,XXL,Mustard,37
J0230-SKD-XL,J0230,Set,XL,Blue,31
J0003-SET-XL,J0003,Set,XL,Mustard,5
JNE3601-KR-M,JNE3601,kurta,M,Light Green,83
